,Новостройки,Автор отзыва,Отзыв,RuterExtractor,Ключевые слова KEYBERT,All_KeyBert,Ключевые слова RAKE,All_RAKE,Ключевые слова YAKE,Все ключевые слова YAKE,Группа 1,Группа 2,Группа 3,Группа 4
0,По ул. Соловьиная,Любовь Чистякова,Продавцы вежливые внимательные. Продукты вседа свежие. Только очень дорогое сливочное масло,"свежие дорогое сливочное масло, вежливые внимательные продукты, продавцы, вседа","['только очень дорогое сливочное масло', 'продавцы вежливые внимательные', 'продукты вседа']","только очень дорогое сливочное масло,продавцы вежливые внимательные,продукты вседа","['продавцы вежливые внимательные', 'продукты вседа свежие', 'дорогое сливочное масло']","продавцы вежливые внимательные,продукты вседа свежие,дорогое сливочное масло","['Продавцы вежливые внимательные', 'Продавцы', 'внимательные', 'вежливые', 'Продукты вседа свежие', 'масло']","Продавцы вежливые внимательные,Продавцы,внимательные,вежливые,Продукты вседа свежие,масло",DELETED,DELETED,DELETED,DELETED
1,По ул. Соловьиная,Инкогнито 9678,Очень спокойный и тихий район,спокойный тихий район,"['тихий район', 'очень']","тихий район,очень","['тихий район', 'спокойный']","тихий район,спокойный","['спокойный и тихий район', 'район', 'спокойный', 'тихий']","спокойный и тихий район,район,спокойный,тихий",Рекомендую,,,
2,По ул. Соловьиная,Любовь Янченко,"Неплохие квартиры, хорошие большие лифты, детская площадка, большая парковка, жильцы вежливые, минус-высокая слышимость в квартирах, рядом родник с водой.","хорошие большие лифты, неплохие квартира, детская площадка, высокая слышимость, большая парковка, родник, квартиры, жильцы, вода","['хорошие большие лифты', 'детская площадка', 'большая парковка', 'жильцы вежливые', 'минус']","хорошие большие лифты,детская площадка,большая парковка,жильцы вежливые,минус","['хорошие большие лифты', 'неплохие квартиры', 'детская площадка', 'большая парковка', 'жильцы вежливые', 'минус-высокая слышимость', 'квартирах', 'родник', 'водой']","хорошие большие лифты,неплохие квартиры,детская площадка,большая парковка,жильцы вежливые,минус-высокая слышимость,квартирах,родник,водой","['хорошие большие лифты', 'минус-высокая слышимость в квартирах', 'Неплохие квартиры', 'детская площадка', 'большая парковка', 'жильцы вежливые']","хорошие большие лифты,минус-высокая слышимость в квартирах,Неплохие квартиры,детская площадка,большая парковка,жильцы вежливые",Удобная Парковка,Высокая слышимость,,
3,По ул. Соловьиная,Pavel Лебедев,"Место классное. Дома новые, лифты в домах объёмные, удобные. Я недавно квартиру купил в соседнем-18-ом доме, район очень перспективный, правда тут ещё работать и работать, но надеюсь скоро всё поставят, доведут до ума.","объёмные удобные квартира, новые лифты, классное дом, ум, район, место, дома, дом","['район очень перспективный', 'но надеюсь скоро всё поставят', 'место классное', 'доведут до ума', 'правда тут ещё']","район очень перспективный,но надеюсь скоро всё поставят,место классное,доведут до ума,правда тут ещё","['место классное', 'дома новые', 'домах объёмные', 'квартиру купил', 'соседнем-18-ом доме', 'надеюсь скоро', 'лифты', 'удобные', 'район', 'перспективный', 'правда', 'работать', 'поставят', 'доведут', 'ума']","место классное,дома новые,домах объёмные,квартиру купил,соседнем-18-ом доме,надеюсь скоро,лифты,удобные,район,перспективный,правда,работать,поставят,доведут,ума","['Место классное', 'лифты в домах объёмные', 'Место', 'Дома новые', 'удобные', 'доме']","Место классное,лифты в домах объёмные,Место,Дома новые,удобные,доме",Лифт в новостройке,Расположение удобное,,
4,По ул. Соловьиная,Юлия Черменева,Стоит жудкий запах канализации!!! С Васильеских ОСК,"запах канализации, жудкий",['стоит жудкий запах'],стоит жудкий запах,"['стоит жудкий запах канализации', 'васильеских оск']","стоит жудкий запах канализации,васильеских оск","['Стоит жудкий запах канализации', 'Стоит жудкий', 'Васильеских ОСК', 'жудкий запах', 'Стоит', 'канализации']","Стоит жудкий запах канализации,Стоит жудкий,Васильеских ОСК,жудкий запах,Стоит,канализации",Отсутствие Запаха(минус),,,
5,По ул. Соловьиная,161575 С.,"живу в соседнем доме, а в этом подружка, нам нравится, советую к преобритению, покупайте, правда в жизни дом выглядит немного подругому","соседний дом, преобритение, подружка, жизнь, дом","['нам нравится', 'покупайте']","нам нравится,покупайте","['жизни дом выглядит', 'соседнем доме', 'живу', 'подружка', 'нравится', 'советую', 'преобритению', 'покупайте', 'правда', 'подругому']","жизни дом выглядит,соседнем доме,живу,подружка,нравится,советую,преобритению,покупайте,правда,подругому","['живу в соседнем доме', 'дом выглядит немного подругому', 'правда в жизни дом', 'жизни дом выглядит', 'советую к преобритению', 'покупайте']","живу в соседнем доме,дом выглядит немного подругому,правда в жизни дом,жизни дом выглядит,советую к преобритению,покупайте",Рекомендую,,,
6,По ул. Соловьиная,Алексей Трушкин,Хорошие дома я очень рад что мои 9гаклмые там живут,хорошие дом,['хорошие'],хорошие,"['хорошие дома', 'рад', '9гаклмые', 'живут']","хорошие дома,рад,9гаклмые,живут","['Хорошие дома', 'дома я очень рад', 'живут', 'дома', 'рад']","Хорошие дома,дома я очень рад,живут,дома,рад",Рекомендую,,,
7,По ул. Соловьиная,Кирилл Кудрявцев,топ я тут живу,топ,[],"['топ', 'живу']","топ,живу","['топ я тут живу', 'топ', 'живу']","топ я тут живу,топ,живу",,Рекомендую,,,
8,По ул. Соловьиная,Юлия,"Парковок нет, от слова совсем (((((",парковки слова,"['от слова совсем', 'парковок нет']","от слова совсем,парковок нет","['парковок', 'слова']","парковок,слова","['Парковок', 'слова']","Парковок,слова",Удобная парковка(Минус),,,
9,По ул. Соловьиная,Андрей У.,"Мало парковочных мест, очень сложно вечером проезжать",парковочные места,"['мало парковочных мест', 'очень сложно', 'проезжать']","мало парковочных мест,очень сложно,проезжать","['сложно вечером проезжать', 'парковочных мест']","сложно вечером проезжать,парковочных мест","['сложно вечером проезжать', 'парковочных мест', 'мест', 'проезжать', 'сложно', 'вечером']","сложно вечером проезжать,парковочных мест,мест,проезжать,сложно,вечером",Удобная Парковка(минус),-,,
